origin,'s-Hertogenbosch,Alphen-Chaam,Altena,Asten,Baarle-Nassau,Bergeijk,Bergen op Zoom,Bernheze,Best,Bladel,Boekel,Boxmeer,Boxtel,Breda,Cranendonck,Cuijk,Deurne,Dongen,Drimmelen,Eersel,Eindhoven,Etten-Leur,Geertruidenberg,Geldrop-Mierlo,Gemert-Bakel,Gilze en Rijen,Goirle,Grave,Haaren,Halderberge,Heeze-Leende,Helmond,Heusden,Hilvarenbeek,Laarbeek,Landerd,Loon op Zand,Meierijstad,Mill en Sint Hubert,Moerdijk,"Nuenen, Gerwen en Nederwetten",Oirschot,Oisterwijk,Oosterhout,Oss,Reusel-De Mierden,Roosendaal,Rucphen,Sint Anthonis,Sint-Michielsgestel,Someren,Son en Breugel,Steenbergen,Tilburg,Uden,Valkenswaard,Veldhoven,Vught,Waalre,Waalwijk,Woensdrecht,Zundert
's-Hertogenbosch,123832.0,100.0,340.0,0.0,0.0,100.0,150.0,820.0,420.0,120.0,100.0,120.0,840.0,2080.0,0.0,100.0,100.0,100.0,100.0,100.0,3740.0,140.0,120.0,100.0,100.0,120.0,100.0,100.0,280.0,0.0,0.0,380.0,1040.0,0.0,100.0,100.0,200.0,3483.0,0.0,100.0,100.0,120.0,280.0,520.0,3020.0,0.0,200.0,0.0,0.0,960.0,0.0,360.0,0.0,3600.0,1240.0,100.0,400.0,1500.0,200.0,1280.0,500.0,100.0
Alphen-Chaam,100.0,6869.0,0.0,0.0,340.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Altena,760.0,0.0,48426.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,100.0,100.0,0.0,300.0,100.0,680.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,400.0,0.0,0.0,0.0,300.0,0.0,0.0,100.0,0.0,100.0,0.0,740.0,100.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,1000.0,100.0,0.0
Asten,100.0,0.0,0.0,12150.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,480.0,0.0,0.0,100.0,720.0,0.0,0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,900.0,0.0,0.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,100.0,0.0,160.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baarle-Nassau,100.0,140.0,0.0,0.0,5427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bergeijk,160.0,0.0,0.0,0.0,0.0,13211.0,0.0,0.0,100.0,540.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,640.0,1180.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,120.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,120.0,0.0,600.0,720.0,0.0,100.0,0.0,0.0,0.0
Bergen op Zoom,240.0,0.0,0.0,0.0,100.0,0.0,56941.0,0.0,100.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,100.0,0.0,180.0,520.0,100.0,100.0,0.0,200.0,100.0,100.0,0.0,320.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,100.0,160.0,100.0,0.0,2080.0,100.0,0.0,0.0,0.0,0.0,680.0,300.0,250.0,0.0,0.0,300.0,0.0,100.0,1320.0,180.0
Bernheze,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,19049.0,100.0,0.0,100.0,100.0,120.0,140.0,0.0,100.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140.0,100.0,0.0,100.0,440.0,0.0,3517.0,0.0,0.0,0.0,0.0,100.0,100.0,2080.0,0.0,100.0,0.0,0.0,220.0,0.0,100.0,0.0,260.0,1120.0,0.0,100.0,140.0,0.0,100.0,100.0,0.0
Best,780.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,19321.0,100.0,0.0,100.0,400.0,260.0,0.0,0.0,0.0,100.0,0.0,120.0,3400.0,0.0,0.0,100.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,100.0,100.0,0.0,100.0,750.0,0.0,0.0,100.0,440.0,120.0,150.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,560.0,0.0,600.0,100.0,100.0,540.0,120.0,0.0,100.0,0.0,0.0
Bladel,200.0,0.0,0.0,0.0,0.0,200.0,100.0,0.0,100.0,14795.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,920.0,1100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,120.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,380.0,0.0,100.0,560.0,0.0,0.0,0.0,0.0,0.0
